State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Churn_binary,Total_charge,Avg_Day_Call_Duration,Avg_Eve_Call_Duration,Avg_Night_Call_Duration,Avg_Intl_Call_Duration,Cust_Serv_Call_Rate,TotalServices,EngagementScore,CS_Calls_x_DayCharge,IntlPlan_x_IntlMins,IsNewCustomer,IsPremium,Total_Minutes,Day_Min_Per_Call,Intl_Plan_Bin,Critical_Intl_Interaction,Log_Total_Minutes,Account_Length_Sq
IA,168,408,No,No,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,False,0,40.190000000000005,1.3416666666666668,1.4774647887323944,1.10234375,5.6,0.005952380952380952,1,168,21.9,0.0,0,0,386.0,1.3416665269097368,0,0,5.958424693029782,28224
MT,95,510,No,No,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,False,0,59.64,1.7795454545454545,3.3013333333333335,1.6721739130434783,2.46,0.031578947368421054,1,95,79.86,0.0,0,0,608.8,1.779545252324403,0,0,6.413131034554154,9025
IA,62,415,No,No,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,False,0,59.309999999999995,1.7242857142857144,4.042105263157895,2.0505050505050506,2.183333333333333,0.06451612903225806,1,62,82.08,0.0,0,0,644.0,1.7242854679592188,0,0,6.4692503167957724,3844
ID,85,408,No,Yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,False,0,65.02,1.41294964028777,3.121111111111111,1.1906666666666665,3.45,0.011764705882352941,2,170,33.39,0.0,0,0,580.3999999999999,1.412949538636724,0,0,6.365438988124775,7225
VT,93,510,No,No,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,False,0,58.989999999999995,1.6728070175438596,1.9657657657657657,1.071074380165289,2.6999999999999997,0.03225806451612903,1,93,97.26,0.0,0,0,546.6,1.6728068708064148,0,0,6.305545093414294,8649
VA,76,510,No,Yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,False,0,60.50000000000001,2.874242424242424,3.273846153846154,1.5342592592592592,2.0,0.013157894736842105,2,152,32.25,0.0,0,0,578.2,2.8742419887512134,0,0,6.361647841071506,5776
TX,73,415,No,No,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,False,0,63.9,2.493333333333333,1.8125,2.6054054054054054,6.5,0.0136986301369863,1,73,38.15,0.0,0,1,589.7,2.493333056296327,0,0,6.38130827431319,5329
FL,147,415,No,No,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,False,0,59.0,1.3256410256410256,2.5774193548387094,1.5699248120300753,2.65,0.0,1,147,0.0,0.0,0,0,614.1999999999999,1.3256409123383834,0,0,6.421947418191434,21609
CO,77,408,No,No,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,True,1,36.019999999999996,0.701123595505618,1.4041322314049587,3.275,0.9500000000000001,0.06493506493506493,1,77,53.05,0.0,0,0,447.59999999999997,0.7011235167276947,0,0,6.1061316220861075,5929
AZ,130,415,No,No,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,False,0,48.06,1.6339285714285714,0.7363636363636364,2.330769230769231,0.5,0.0,1,130,0.0,0.0,0,0,447.20000000000005,1.6339284255421047,0,0,6.105239561366827,16900
VA,132,510,No,No,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,False,0,48.08,0.9430232558139534,3.4055555555555554,2.0608695652173914,5.15,0.0,1,132,0.0,0.0,0,0,573.5999999999999,0.9430231461600992,0,0,6.353674146545189,17424
NE,174,415,No,No,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,False,0,60.15,1.6355263157894737,2.474107142857143,2.1799999999999997,3.1,0.017241379310344827,1,174,63.39,0.0,0,0,667.6,1.6355261005886708,0,0,6.5051859739859985,30276
WY,57,408,No,Yes,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,False,0,63.24,1.8521739130434782,1.70625,1.5886956521739128,3.1666666666666665,0.0,2,114,0.0,0.0,0,0,596.3,1.852173751984891,0,0,6.39241949973826,3249
MT,54,408,No,No,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,False,0,44.61,1.8397260273972604,1.555,1.5014705882352941,3.675,0.05555555555555555,1,54,68.49,0.0,0,0,406.59999999999997,1.839725775380031,0,0,6.01028630134857,2916
MO,20,415,No,No,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,False,0,64.12,1.7431192660550459,3.0738095238095235,1.7794117647058822,1.05,0.0,1,20,0.0,0.0,0,0,636.0,1.7431191061358617,0,0,6.456769655572163,400
IL,142,415,No,No,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,False,0,41.14,0.8926315789473684,2.1698412698412697,1.6925675675675675,2.3666666666666667,0.014084507042253521,1,142,28.84,0.0,0,0,486.2,0.8926314849861594,0,0,6.1886747163956874,20164
NH,75,510,No,No,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,False,0,69.42999999999999,2.1533333333333333,1.8831775700934579,2.5122448979591834,2.06,0.013333333333333334,1,75,38.44,0.0,0,1,684.0999999999999,2.153333128253988,0,0,6.529564813008853,5625
LA,172,408,No,No,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,False,0,55.29,1.7520661157024793,0.271304347826087,3.76025641025641,1.26,0.01744186046511628,1,172,108.12,0.0,0,0,549.1,1.7520659709036388,0,0,6.310100079881413,29584
AZ,12,408,No,No,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,True,1,79.67999999999999,2.1152542372881356,2.1210084033613446,3.1133333333333333,3.9333333333333336,0.08333333333333333,1,12,42.43,0.0,1,1,794.0,2.115254058029317,0,0,6.678342114654332,144
OK,57,408,No,Yes,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,False,0,58.49,1.8808510638297873,2.6,1.8405172413793103,2.075,0.0,2,114,0.0,0.0,0,0,593.5999999999999,1.8808508637392698,0,0,6.387888910563997,3249
GA,72,415,No,Yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,False,0,66.72,2.75,2.130392156862745,2.1521126760563383,2.4499999999999997,0.041666666666666664,2,144,112.19999999999999,0.0,0,1,604.8000000000001,2.749999656250043,0,0,6.406549898593137,5184
MA,78,415,No,No,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,False,0,54.2,2.04375,1.928448275862069,2.109259259259259,2.0,0.01282051282051282,1,78,22.24,0.0,0,0,592.3,2.0437496806641127,0,0,6.385700173264597,6084
AK,136,415,Yes,Yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,False,0,58.03,1.9235849056603773,1.894949494949495,0.9504672897196262,1.75,0.022058823529411766,3,408,103.97999999999999,10.5,0,0,503.7,1.9235847241901203,1,3,6.223964193346217,18496
NJ,149,408,No,No,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,False,0,58.44,1.4936170212765958,2.9543478260869565,1.7435185185185187,1.2333333333333334,0.006711409395973154,1,149,23.87,0.0,0,0,611.6,1.493616862381185,0,0,6.417712194398675,22201
GA,98,408,No,No,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,False,0,46.63999999999999,1.238235294117647,1.9623529411764706,1.3911111111111112,4.7,0.030612244897959183,1,98,64.41,0.0,0,0,490.3,1.2382351727220418,0,0,6.197054939174603,9604
MD,135,408,Yes,Yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,True,1,56.199999999999996,2.0364705882352943,1.905607476635514,1.5666666666666667,0.9733333333333333,0.0,3,405,0.0,14.6,0,0,513.8,2.036470348650547,1,0,6.243778475721972,18225
AR,34,510,No,No,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,False,0,61.92999999999999,1.5219512195121951,2.8795918367346935,3.9935897435897436,2.5,0.058823529411764705,1,34,42.44,0.0,0,0,728.5,1.5219510339084104,0,0,6.592359367962841,1156
ID,160,415,No,No,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,False,0,39.15,1.1142857142857143,1.502727272727273,1.940217391304348,2.3,0.01875,1,160,43.769999999999996,0.0,0,0,438.8,1.1142855695733025,0,0,6.086320078120661,25600
WI,64,510,No,No,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,False,0,58.260000000000005,2.298507462686567,1.9135593220338984,3.084883720930233,1.1666666666666667,0.015625,1,64,26.18,0.0,0,0,648.6,2.298507119625803,0,0,6.476356788847468,4096
OR,59,408,No,Yes,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,False,0,48.3,1.2463917525773196,2.3152173913043477,1.4060344827586206,1.7,0.03389830508474576,2,118,41.1,0.0,0,0,505.5,1.2463916240833377,0,0,6.227524323688738,3481
DE,142,408,No,No,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,False,0,56.129999999999995,1.406015037593985,1.8189189189189188,1.9070866141732283,1.48,0.014084507042253521,1,142,63.58,0.0,0,0,571.1999999999999,1.4060149318785766,0,0,6.3494885806160095,20164
WY,97,415,No,Yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,False,0,47.25,0.9866666666666666,3.7448275862068963,0.8936708860759492,3.6666666666666665,0.010309278350515464,2,194,22.64,0.0,0,0,432.0,0.9866665935802522,0,0,6.07073772800249,9409
IA,52,408,No,No,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,False,0,68.32,1.776851851851852,2.810416666666667,2.72183908045977,1.56,0.057692307692307696,1,52,97.85999999999999,0.0,0,0,706.3,1.7768516873285474,0,0,6.561454904041944,2704
IN,60,408,No,No,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,False,0,68.49000000000001,3.8701754385964913,1.8356521739130434,1.930232558139535,2.2666666666666666,0.016666666666666666,1,60,37.5,0.0,0,1,687.5,3.870174759618463,0,0,6.53451531816871,3600
UT,96,415,No,No,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,False,0,62.76,1.369230769230769,3.9925373134328357,3.360294117647059,1.86,0.020833333333333332,1,96,54.46,0.0,0,0,665.5,1.3692306522025082,0,0,6.502040139618764,9216
WY,87,415,No,No,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,True,1,56.14,1.819277108433735,1.8939655172413792,1.6055118110236222,3.233333333333333,0.05747126436781609,1,87,128.35000000000002,0.0,0,0,584.3000000000001,1.8192768892437483,0,0,6.372124536297175,7569
IN,81,408,No,No,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,False,0,65.94,2.6194029850746268,2.9329411764705884,2.757142857142857,3.4,0.012345679012345678,1,81,29.84,0.0,0,0,705.2,2.6194025941190158,0,0,6.559898483494286,6561
CO,141,415,No,No,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,False,0,45.370000000000005,1.2948979591836736,2.903225806451613,1.1,4.0,0.0070921985815602835,1,141,21.57,0.0,0,0,455.7,1.2948978270512421,0,0,6.124026720190953,19881
CO,121,408,No,Yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,True,1,49.849999999999994,1.537984496124031,0.9779220779220779,2.353246753246753,1.9333333333333333,0.024793388429752067,2,242,101.19,0.0,0,0,460.7,1.537984376900436,0,0,6.1349153295129435,14641
OK,125,408,No,No,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,False,0,65.82,2.2262135922330097,1.407936507936508,1.9926315789473685,1.5,0.008,1,125,38.98,0.0,0,1,608.0,2.2262133760957887,0,0,6.411818267709897,15625
ID,174,408,No,No,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,False,0,57.67999999999999,1.9804123711340205,1.8074468085106383,3.085185185185185,2.85,0.005747126436781609,1,174,32.66,0.0,0,0,540.0,1.9804121669678176,0,0,6.293419278846481,30276
CA,116,415,No,Yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,False,0,71.41999999999999,3.236144578313253,1.2549295774647886,1.568867924528302,3.8666666666666667,0.017241379310344827,2,232,91.32,0.0,0,1,624.7,3.236144188416363,0,0,6.438871023004318,13456
SD,149,408,No,Yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,False,0,62.029999999999994,1.9641304347826085,2.934375,5.009433962264151,4.2,0.020134228187919462,2,298,92.16,0.0,0,0,646.6,1.9641302212901932,0,0,6.47327322180348,22201
NC,38,408,No,No,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,False,0,45.51,1.3387755102040815,1.679381443298969,1.5,1.3666666666666665,0.05263157894736842,1,38,44.6,0.0,0,0,461.3,1.3387753735943495,0,0,6.1362140309941795,1444
WA,40,415,No,Yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,False,0,50.89000000000001,2.0013513513513512,1.9261363636363635,2.0990196078431373,1.24,0.05,2,80,50.36,0.0,0,0,537.9000000000001,2.001351080898502,0,0,6.2895300249394515,1600
WY,43,415,Yes,No,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,False,0,70.46,2.395238095238095,2.0461538461538464,2.355223880597015,2.325,0.0,2,86,0.0,9.3,0,1,631.4,2.395237867120203,1,0,6.449522105335317,1849
MN,113,408,Yes,No,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,False,0,46.88,1.346236559139785,1.734453781512605,0.9302158273381296,1.0375,0.0,2,226,0.0,8.3,0,0,469.20000000000005,1.3462364143831813,1,0,6.1531581361059695,12769
UT,126,408,No,No,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,False,0,63.42999999999999,3.0228571428571427,2.71125,2.558333333333333,7.8,0.007936507936507936,1,126,35.97,0.0,0,0,589.8,3.0228567110204696,0,0,6.381477550657225,15876
TX,150,510,No,No,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,True,1,55.199999999999996,1.7712871287128713,1.5372727272727271,1.486,4.6000000000000005,0.02666666666666667,1,150,121.64,0.0,0,0,510.40000000000003,1.7712869533379254,0,0,6.237152062857087,22500
NJ,138,408,No,No,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,False,0,72.08,2.6,2.0542168674698793,2.839423076923077,1.6857142857142857,0.021739130434782608,1,138,123.33,0.0,0,1,719.4,2.5999997204301377,0,0,6.579806613301801,19044
MN,162,510,No,Yes,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,False,0,68.96,2.318556701030928,2.2404761904761905,4.173770491803278,6.05,0.0,2,324,0.0,0.0,0,1,679.8000000000001,2.3185564620044885,0,0,6.523268577259165,26244
NM,147,510,No,No,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,False,0,64.84,2.995180722891566,1.7517647058823531,1.5825688073394495,2.0,0.02040816326530612,1,147,126.78,0.0,0,1,578.0,2.995180362026462,0,0,6.361302477572996,21609
NV,90,415,No,No,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,False,0,62.67999999999999,1.393150684931507,1.9376068376068376,1.4514285714285715,1.825,0.011111111111111112,1,90,34.58,0.0,0,0,589.8,1.3931505895102336,0,0,6.381477550657225,8100
MN,50,415,No,No,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,False,0,55.49999999999999,1.7455555555555555,3.101388888888889,1.6342342342342342,3.05,0.02,1,50,26.71,0.0,0,0,567.9,1.7455553616049597,0,0,6.343704671756601,2500
DC,82,415,No,No,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,True,1,81.75,2.7550458715596333,1.81,3.7,2.925,0.0,1,82,0.0,0.0,0,1,763.1000000000001,2.7550456188031545,0,0,6.638698670653521,6724
NY,144,408,No,No,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,True,1,27.02,0.5264957264957265,0.9070588235294117,1.7474747474747474,1.1714285714285713,0.027777777777777776,1,144,41.88,0.0,0,0,319.9,0.5264956814960956,0,0,5.771129548115811,20736
MD,70,408,No,No,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,False,0,56.459999999999994,1.736734693877551,1.5215686274509803,3.0078947368421054,7.5,0.014285714285714285,1,70,28.93,0.0,0,0,569.0,1.736734516659743,0,0,6.345636360828596,4900
WV,144,415,No,No,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,False,0,73.63,2.0313131313131314,4.101351351351352,1.8823529411764706,6.6,0.006944444444444444,1,144,34.19,0.0,0,0,741.8000000000001,2.031312926130007,0,0,6.610426829478551,20736
OR,116,415,Yes,No,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,False,0,69.96000000000001,2.0711538461538463,2.5924050632911393,2.555045871559633,2.52,0.02586206896551724,2,232,109.85999999999999,12.6,0,0,711.3000000000001,2.071153647004457,1,3,6.568499170984309,13456
CO,55,408,No,Yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,False,0,50.599999999999994,1.346341463414634,1.4326315789473683,1.952222222222222,5.5,0.05454545454545454,2,110,84.44999999999999,0.0,0,0,488.4,1.3463413539559874,0,0,6.193180151008571,3025
GA,70,415,No,Yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,False,0,77.16000000000001,2.4702970297029703,2.65,3.275,2.45,0.014285714285714285,2,140,42.42,0.0,0,1,741.6999999999999,2.47029678511913,0,0,6.61029219467525,4900
TX,106,510,No,No,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,True,1,68.94,2.19375,2.931764705882353,2.1750000000000003,12.4,0.018867924528301886,1,106,71.6,0.0,0,0,663.5999999999999,2.1937497714843985,0,0,6.499185355920494,11236
IN,94,408,No,No,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,True,1,50.709999999999994,1.503809523809524,1.5346534653465347,2.257142857142857,1.6,0.0425531914893617,1,94,107.36,0.0,0,0,510.5,1.503809380589583,0,0,6.2373475853916815,8836
WV,111,510,No,No,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,False,0,65.6,1.8161016949152544,2.7434210526315788,1.8612244897959185,6.0,0.009009009009009009,1,111,36.43,0.0,0,0,617.2,1.816101541008344,0,0,6.426812029698016,12321
KY,74,415,No,Yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,False,0,48.72,1.481730769230769,1.4690476190476192,3.545614035087719,1.2111111111111112,0.02702702702702703,2,148,52.4,0.0,0,0,490.5,1.4817306267566703,0,0,6.197461939587221,5476
NJ,128,415,No,No,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,True,1,74.64,1.9032,2.6623655913978492,3.072058823529412,3.475,0.0078125,1,128,40.44,0.0,0,1,708.3,1.9031998477440122,0,0,6.564278568208041,16384
DC,82,510,No,No,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,False,0,48.96,2.359016393442623,1.8561904761904762,1.1659574468085105,5.55,0.012195121951219513,1,82,24.46,0.0,0,0,459.5,2.3590160067186874,0,0,6.132312855695361,6724
AR,80,415,No,No,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,False,0,49.36000000000001,1.2429999999999999,1.6168224299065421,4.083870967741936,0.8777777777777778,0.0125,1,80,21.13,0.0,0,0,558.4,1.2429998757000125,0,0,6.32686478076786,6400
ME,78,415,No,No,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,False,0,72.6,2.7193548387096773,1.592857142857143,2.513333333333333,1.3571428571428572,0.038461538461538464,1,78,128.97,0.0,0,1,704.7,2.7193545463059627,0,0,6.559190218006784,6084
AZ,90,415,No,No,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,False,0,55.26,2.5225352112676056,2.3530864197530863,1.4032967032967034,1.5142857142857142,0.03333333333333333,1,90,91.35,0.0,0,0,508.0,2.522534855981006,0,0,6.2324480165505225,8100
AK,104,408,No,No,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,False,0,64.21000000000001,2.6264150943396225,0.7168141592920354,1.1912408759124087,1.9600000000000002,0.009615384615384616,1,104,47.33,0.0,0,1,532.3999999999999,2.6264148465646366,0,0,6.279271611747913,10816
AZ,99,415,No,No,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,False,0,62.25000000000001,2.27816091954023,2.7276315789473684,1.6893805309734513,2.9,0.04040404040404041,1,99,134.76,0.0,0,0,605.1,2.2781606576826827,0,0,6.40704498895724,9801
MS,120,408,No,No,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,True,1,62.809999999999995,1.619083969465649,2.0134615384615384,1.7416666666666665,1.06,0.008333333333333333,1,120,36.06,0.0,0,0,594.0,1.619083845871462,0,0,6.38856140554563,14400
IA,98,510,No,Yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,False,0,57.24,1.4140350877192982,3.0385542168674697,1.7413043478260868,0.55,0.04081632653061224,2,196,109.6,0.0,0,0,577.9999999999999,1.4140349636811433,0,0,6.361302477572995,9604
VT,135,415,No,No,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,False,0,46.849999999999994,1.8499999999999999,1.1333333333333333,1.8,1.75,0.0,1,135,0.0,0.0,0,0,461.2,1.8499997743902712,0,0,6.13599769784028,18225
IN,122,408,No,No,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,False,0,57.989999999999995,1.8138297872340425,1.593577981651376,3.3146666666666667,5.65,0.00819672131147541,1,122,28.99,0.0,0,0,604.0999999999999,1.8138295942734473,0,0,6.405393733628276,14884
AZ,95,408,No,No,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,False,0,68.13,3.663076923076923,1.9102040816326529,1.6521739130434783,2.95,0.042105263157894736,1,95,161.92,0.0,0,1,627.0999999999999,3.6630763595267135,0,0,6.442699389460335,9025
NM,93,510,No,Yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,False,0,46.42999999999999,0.9,1.4304347826086956,2.5232558139534884,3.266666666666667,0.010752688172043012,2,186,20.04,0.0,0,0,509.2,0.8999999312977152,0,0,6.234802805707711,8649
UT,157,408,No,No,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,False,0,65.09,2.5533333333333337,1.2223140495867768,2.2351851851851854,1.3714285714285714,0.01910828025477707,1,157,117.21000000000001,0.0,0,1,628.7,2.553333049629661,0,0,6.445243515494697,24649
